sep=;
time;model_id;model_name;port_name;data
0;1;(5,5);;<0>
0;2;(3,5);;<0>
0;3;(2,5);;<0>
0;4;(1,5);;<0>
0;5;(0,5);;<0>
0;6;(5,4);;<0>
0;7;(3,1);;<0>
0;8;(4,5);;<0>
0;9;(4,4);;<0>
0;10;(2,4);;<0>
0;11;(4,1);;<0>
0;12;(5,0);;<0>
0;13;(4,0);;<0>
0;14;(0,1);;<0>
0;15;(1,4);;<0>
0;16;(3,3);;<0>
0;17;(2,1);;<0>
0;18;(1,1);;<0>
0;19;(3,0);;<0>
0;20;(5,1);;<0>
0;21;(1,2);;<0>
0;22;(3,2);;<0>
0;23;(2,3);;<0>
0;24;(2,0);;<0>
0;25;(0,0);;<0>
0;26;(1,0);;<0>
0;27;(2,2);;<20>
0;28;(0,2);;<0>
0;29;(5,2);;<0>
0;30;(4,2);;<0>
0;31;(0,3);;<0>
0;32;(0,4);;<0>
0;33;(1,3);;<0>
0;34;(4,3);;<0>
0;35;(5,3);;<0>
0;36;(3,4);;<0>
0;1;(5,5);outputNeighborhood;<0>
0;1;(5,5);;<0>
0;2;(3,5);outputNeighborhood;<0>
0;2;(3,5);;<0>
0;3;(2,5);outputNeighborhood;<0>
0;3;(2,5);;<0>
0;4;(1,5);outputNeighborhood;<0>
0;4;(1,5);;<0>
0;5;(0,5);outputNeighborhood;<0>
0;5;(0,5);;<0>
0;6;(5,4);outputNeighborhood;<0>
0;6;(5,4);;<0>
0;7;(3,1);outputNeighborhood;<0>
0;7;(3,1);;<0>
0;8;(4,5);outputNeighborhood;<0>
0;8;(4,5);;<0>
0;9;(4,4);outputNeighborhood;<0>
0;9;(4,4);;<0>
0;10;(2,4);outputNeighborhood;<0>
0;10;(2,4);;<0>
0;11;(4,1);outputNeighborhood;<0>
0;11;(4,1);;<0>
0;12;(5,0);outputNeighborhood;<0>
0;12;(5,0);;<0>
0;13;(4,0);outputNeighborhood;<0>
0;13;(4,0);;<0>
0;14;(0,1);outputNeighborhood;<0>
0;14;(0,1);;<0>
0;15;(1,4);outputNeighborhood;<0>
0;15;(1,4);;<0>
0;16;(3,3);outputNeighborhood;<0>
0;16;(3,3);;<0>
0;17;(2,1);outputNeighborhood;<0>
0;17;(2,1);;<1>
0;18;(1,1);outputNeighborhood;<0>
0;18;(1,1);;<0>
0;19;(3,0);outputNeighborhood;<0>
0;19;(3,0);;<0>
0;20;(5,1);outputNeighborhood;<0>
0;20;(5,1);;<0>
